[00:00 - 00:03] はいではゲスト号司によるこの後特別講義に入ります
[74:09 - 74:10] なるべく頻度高く
[74:11 - 74:13] 更新してもらうように
[74:13 - 74:14] なんかスタッフがいる方は
[74:15 - 74:16] これを見せて指示するか
[74:17 - 74:18] 自分でやる方は
[74:18 - 74:19] ほんとに3日に1回とかでもいいので
[74:20 - 74:21] とりあえず乗せるみたいな
[74:22 - 74:23] ことをやっていただければいいのかな
[74:23 - 74:24] という感じ
[74:25 - 74:26] 無形の方に関して
[74:29 - 74:30] やり方として
[74:30 - 74:31] 先ほどお見せした
[74:32 - 74:33] このゴマ仕様というやつと
[74:34 - 74:35] この金屋さんというやつの
[74:37 - 74:38] ローンチのデータ
[74:38 - 74:39] 1ヶ月分くらいの
[74:39 - 74:40] ローンチのデータを
[74:40 - 74:41] ここに入れてあるので
[74:42 - 74:43] ぜひ
[74:43 - 74:44] 見ていただければな
[74:44 - 74:45] という風に思うんですけど
[74:49 - 74:50] よいしょ
[74:54 - 74:55] それを開いて
[74:55 - 74:56] なんかテキストの方を
[74:56 - 74:57] 開いていただけると
[74:59 - 75:00] こんな感じで
[75:00 - 75:02] もうストーリーのデータ
[75:02 - 75:04] 今までやってきたデータ
[75:04 - 75:05] というところが出てくるので
[75:06 - 75:07] ぜひ
[75:07 - 75:08] 開いていただいて
[75:09 - 75:10] それを
[75:10 - 75:12] なんかチャットGPでもクロードでも
[75:13 - 75:14] どちらでも
[75:14 - 75:15] まあクロードの方が
[75:15 - 75:16] いいかな本来は
[75:16 - 75:17] だと思うので
[75:17 - 75:18] クロード契約されていると思うので
[75:19 - 75:20] そっちに
[75:20 - 75:21] 貼り付けていただいて
[75:23 - 75:24] これはちょっと
[75:24 - 75:25] 単落的なんですけど
[75:26 - 75:28] 構造を分析してください
[75:28 - 75:29] みたいな感じで
[75:30 - 75:31] 言ってみるといいかな
[75:31 - 75:32] という風に思うんですけど
[75:41 - 75:42] なので皆さん
[75:42 - 75:43] スプレートシートを
[75:43 - 75:44] 戻って自分の
[75:44 - 75:45] ちょっと一旦
[75:45 - 75:46] 参考にしたいローンチとかを
[75:46 - 75:47] ちょっと見ていただいて
[75:51 - 75:53] テキストをコピーしていただいて
[76:46 - 76:47] こんな感じで
[76:47 - 76:48] 一旦インプットさせて
[77:10 - 77:11] データを
[77:11 - 77:12] なんかインプットさせて
[77:12 - 77:13] 一旦インプットさせて
[77:14 - 77:15] いただければな
[77:15 - 77:16] してもらえればな
[77:16 - 77:17] という風に思ってて
[77:18 - 77:19] まあなんか
[77:19 - 77:20] このワークシートのところ
[77:20 - 77:22] ワークシートのところに
[77:25 - 77:27] ここになんか名前書いていただいて
[77:28 - 77:29] でも今日そんな時間ないか
[77:32 - 77:33] 早さに何分くらいに
[77:33 - 77:34] 終わらせた方がいいですか
[77:35 - 77:36] 5時
[77:36 - 77:37] いや全然安気でも
[77:37 - 77:38] あってもいいですよ
[77:38 - 77:39] 5時半ぐらいまで
[77:40 - 77:41] 使ってもらって
[77:41 - 77:42] 了解です
[77:42 - 77:43] じゃあ点作までいけそう
[77:43 - 77:44] じゃあここに
[77:44 - 77:46] 皆さん自分のアカウントと
[77:46 - 77:47] URLっていうのを
[77:47 - 77:48] 貼っていただいて
[77:50 - 77:51] ここから自分が
[77:51 - 77:53] もしローンチをするんだったら
[77:53 - 77:55] どんなこと書くかなっていうのを
[77:55 - 77:57] ちょっと書いていくみたいな
[77:57 - 77:58] ワークをしたいなという風に
[77:58 - 77:59] 思ってます
[77:59 - 78:00] なのでそれを
[78:00 - 78:01] ちょっとAI使いながら
[78:01 - 78:03] 一緒にやっていくみたいな形
[78:03 - 78:04] AIで叩き台を
[78:04 - 78:05] 6、7割くらいのものを
[78:05 - 78:07] 一旦作れると思うので
[78:07 - 78:08] それをもっと
[78:08 - 78:09] 一旦作れると思うので
[78:09 - 78:10] それをもとに
[78:10 - 78:11] やっていくみたいな形
[78:11 - 78:12] でいければなと思います
[78:13 - 78:14] でなんか入れると
[78:14 - 78:16] なんかローンチの
[78:16 - 78:17] 順番みたいな感じで
[78:17 - 78:18] こんな感じで
[78:18 - 78:19] 何をすればいいか
[78:19 - 78:20] みたいなのが
[78:20 - 78:21] 出てくると思うので
[78:21 - 78:23] 一旦この状態を
[78:23 - 78:24] 作っていただければなという
[78:24 - 78:25] 風に思います
[78:25 - 78:26] こんな感じで出てきたら
[78:26 - 78:27] これって
[78:28 - 78:29] 情報として
[78:29 - 78:31] 使われると困るじゃないですか
[78:31 - 78:32] つまりこれを
[78:32 - 78:33] この商品を
[78:33 - 78:34] ローンチするわけじゃないので
[78:35 - 78:36] なので一旦
[78:36 - 78:37] この商品を
[78:37 - 78:38] 使われるわけじゃないので
[78:38 - 78:39] なので一旦
[78:39 - 78:40] 次の情報を
[78:40 - 78:41] 参考にするんだよ
[78:41 - 78:42] 今回の構成だけは
[78:42 - 78:43] 参考にするんだよ
[78:43 - 78:44] っていう風に
[78:45 - 78:47] 僕はあんまりプロンプトとか
[78:47 - 78:48] そんなに
[78:48 - 78:50] 得意詳しくのはないんですけど
[78:50 - 78:51] こんな感じで
[78:51 - 78:52] 会話していくと
[78:52 - 78:53] だいたい合ってるようになる
[78:53 - 78:54] これで言って
[78:54 - 78:55] 次もし入れちゃってても
[78:55 - 78:56] いや入れちゃダメなんだよ
[78:56 - 78:57] これって
[78:57 - 78:58] 言えば意外と
[78:58 - 78:59] 戻ってくるので
[78:59 - 79:00] なので一旦僕は
[79:00 - 79:01] こんな感じで
[79:02 - 79:03] これから
[79:03 - 79:04] 僕のローンチする商品
[79:04 - 79:05] セミナーの情報を
[79:05 - 79:06] 入れるんだけど
[79:06 - 79:07] 入れる情報だけが
[79:08 - 79:09] 僕のローンチ情報だよ
[79:09 - 79:10] みたいな感じで
[79:10 - 79:11] なるっていう感じ
[79:12 - 79:13] この状態を作ると
[79:13 - 79:14] ローンチの型
[79:15 - 79:17] つまり意識しなきゃいけないところだけ
[79:17 - 79:19] インプットされた状態になって
[79:20 - 79:21] これから入れる
[79:22 - 79:23] 皆さんの情報
[79:23 - 79:24] 商品だったり
[79:24 - 79:25] セミナーの情報を
[79:26 - 79:27] 元に
[79:27 - 79:29] それを作ってくれる
[79:29 - 79:30] つまり型が
[79:30 - 79:31] 出来上がった状態なんです
[79:31 - 79:32] なのでそこに
[79:33 - 79:34] 入れ込むみたいな
[79:34 - 79:35] 形を
[79:36 - 79:37] 取ってあげれば
[79:37 - 79:39] ローンチのシナリオっていうのを
[79:40 - 79:41] ある程度
[79:42 - 79:43] 書いてくれる
[79:43 - 79:44] 6、7割くらいの
[79:44 - 79:45] 叩き台を
[79:45 - 79:46] 書いてくれるんじゃないかな
[79:46 - 79:47] というふうに思います
[79:47 - 79:48] なので
[79:48 - 79:49] 皆さんの
[79:50 - 79:51] なんか
[79:51 - 79:52] ヒアリングシートとか
[79:52 - 79:53] あるのかな
[79:53 - 79:54] なんか商品のこと
[79:54 - 79:55] 書いたシートとか
[79:55 - 79:56] 何の情報でも
[79:56 - 79:57] 正直いいんですけど
[79:58 - 79:59] 例えばYouTubeがある
[79:59 - 80:00] 方だったら
[80:00 - 80:01] YouTubeの文字起こし
[80:01 - 80:02] そのまま
[80:02 - 80:03] ぶち込んじゃうとか
[80:04 - 80:05] つまり
[80:05 - 80:07] 関係のある情報が欲しい
[80:07 - 80:08] という感じで
[80:08 - 80:09] 商品に関する
[80:09 - 80:10] なので
[80:10 - 80:11] ちょっとそれを
[80:11 - 80:12] 探していただいて
[80:12 - 80:13] なんかとりあえず完璧じゃなくても
[80:13 - 80:14] 参照元ぜひ
[80:14 - 80:15] 作っていただければな
[80:15 - 80:16] と思うんですけど
[80:16 - 80:17] 僕とかだったら
[80:18 - 80:19] 店舗のインスタって
[80:19 - 80:20] ここやるんだよ
[80:20 - 80:21] みたいな
[80:21 - 80:22] 教育動画
[80:22 - 80:23] 今これ作ってるんですけど
[80:24 - 80:25] これの
[80:25 - 80:26] じゃあこの商品
[80:26 - 80:27] 店舗の
[80:28 - 80:29] SNS主張客のやり方みたいな
[80:29 - 80:30] 商品ローンチしようかな
[80:30 - 80:31] って思った時に
[80:32 - 80:34] YouTubeを開いて
[80:34 - 80:35] YouTubeがもしないとか
[80:35 - 80:36] 自分の商品がないみたいな
[80:37 - 80:38] 何も書いてないとかだったら
[80:38 - 80:40] 誰かのYouTubeとかでもいいと思うんですけど
[80:40 - 80:41] 一旦このフローだけ
[80:41 - 80:43] 確認できればなと思うんですけど
[80:43 - 80:44] こんな感じで
[80:45 - 80:46] YouTube summary 何茶だっていう
[80:47 - 80:48] このクロームの拡張機能
[80:49 - 80:51] YouTube summary with chat GPT
[80:51 - 80:52] みたいなやつを
[80:56 - 80:57] これを入れると
[80:58 - 80:59] YouTubeを
[80:59 - 81:01] 一瞬で文字起こししてくれるんですね
[81:02 - 81:03] この
[81:03 - 81:05] コピートランスクリプトっていうのを押すと
[81:06 - 81:07] 一瞬で文字が
[81:07 - 81:08] パッて出てくるっていう
[81:09 - 81:10] これを
[81:10 - 81:12] ここに貼り付けてみるみたいな
[81:13 - 81:14] 無形で
[81:14 - 81:15] ラインやられてる方は
[81:15 - 81:16] ラインのシラにをここに
[81:16 - 81:17] ぶち込むのが
[81:17 - 81:18] めちゃくちゃお勧めです
[81:24 - 81:25] こんな感じで
[81:25 - 81:27] インプットしたものを入れると
[81:27 - 81:28] おそらく出てくるはず
[81:33 - 81:34] これを
[81:49 - 81:51] めっちゃいい感じになった
[81:57 - 81:58] 全然使える
[82:04 - 82:05] めっちゃ使えるこれ
[82:10 - 82:11] これ多分めっちゃ使える
[82:11 - 82:12] 僕も
[82:14 - 82:16] 普段からこの商品を
[82:17 - 82:18] ロンジだったりとかしてるんですけど
[82:19 - 82:20] 普段のシナリオと
[82:20 - 82:21] そんなに
[82:21 - 82:23] 大きくは変わらなそうな感じで
[82:24 - 82:26] ぜひこのインプットしたものに対して
[82:26 - 82:27] 一回構造が
[82:27 - 82:28] それは構造だよっていう
[82:29 - 82:30] 認識を揃えた後に
[82:30 - 82:32] 情報を与えるっていうところを
[82:32 - 82:33] やると
[82:33 - 82:34] こんな感じで出てきます
[82:36 - 82:38] さっき作ったやつが
[82:38 - 82:39] こんな感じで
[82:40 - 82:42] 12フェーズ構造みたいな感じで
[82:42 - 82:43] 分析してくれてるんですけど
[82:44 - 82:45] ウォームアップすると
[82:45 - 82:46] 構造だよとか
[82:46 - 82:48] ティザー初期犯の犯況を
[82:49 - 82:51] 詳細解禁みたいな感じで
[82:52 - 82:53] こんな感じで
[82:53 - 82:54] 流れをインプットさせる
[82:54 - 82:55] 当たってる流れっていうのを
[82:55 - 82:56] インプットさせましたと
[82:57 - 82:58] そこに対して
[82:58 - 82:59] 情報を与えたら
[82:59 - 83:00] どうなったかっていうと
[83:00 - 83:01] 同じように
[83:01 - 83:02] ウォームアップして
[83:02 - 83:03] 検員性やって
[83:04 - 83:05] 問題定期して
[83:05 - 83:06] ディザーやって
[83:07 - 83:09] セミナー上 価値の小出しして
[83:09 - 83:10] セミナー詳細発表して
[83:12 - 83:13] 事例を公開
[83:15 - 83:16] 深掘り
[83:16 - 83:17] 広告の真実みたいな
[83:20 - 83:21] で来店きっかけ
[83:23 - 83:24] みたいな感じで
[83:24 - 83:26] その問題の
[83:26 - 83:27] 問題となりうる
[83:27 - 83:29] 切り口を何個も何個も
[83:29 - 83:31] 作ってくれてるって感じ
[83:31 - 83:32] 当日リマインド
[83:32 - 83:34] 当日のセミナーが
[83:34 - 83:35] なんで大事なのか
[83:35 - 83:36] みたいなところも含めて
[83:36 - 83:37] 全部
[83:38 - 83:39] 当たってる方を
[83:39 - 83:41] 上に使ってたんですけど
[83:41 - 83:42] 当日
[83:42 - 83:43] 当日ドタキャンしないでね
[83:43 - 83:45] ハイライト全部読んでね
[83:45 - 83:46] アーカイブ絶対しないよ
[83:46 - 83:47] っていうので
[83:50 - 83:52] ストーリーからの誘導なのに
[83:52 - 83:53] セミナーの
[83:53 - 83:55] 着座率が90%
[83:55 - 83:57] 着座率が98%
[83:57 - 83:58] 一人しか
[83:59 - 84:00] かけなかったっていう
[84:00 - 84:02] シナリオなんですけど実は
[84:03 - 84:05] なので絶対にドタキャンすんないよ
[84:05 - 84:06] っていうのを言うとか
[84:07 - 84:08] そういうシナリオを
[84:08 - 84:10] 参考を基に入れておくことによって
[84:10 - 84:11] それと同じように
[84:11 - 84:12] 出せますよ
[84:12 - 84:13] っていう感じになってます
[84:14 - 84:15] で僕は
[84:15 - 84:16] これを見たときに
[84:17 - 84:18] ローンチって
[84:18 - 84:19] シナリオとかも
[84:19 - 84:20] そうだと思うんですけど
[84:20 - 84:21] 一回言っただけじゃ
[84:21 - 84:23] 伝わんないじゃないですか
[84:23 - 84:24] なので
[84:24 - 84:26] シナリオを作ってくれて
[84:26 - 84:27] ありがとう
[84:27 - 84:28] これ一回言っただけじゃ伝わらないから
[84:28 - 84:30] 一回だけじゃなくて
[84:30 - 84:32] 何回か同じ情報が
[84:33 - 84:35] 2、3日起きくらいに
[84:35 - 84:36] 出てきて
[84:36 - 84:37] その価値観が必ず
[84:37 - 84:39] セミナーの前に伝わるようにしてほしいんだけど
[84:39 - 84:40] そのようにかき換えられる
[84:50 - 84:51] っていう感じで
[84:51 - 84:53] ちょっとフィードワックをすると
[84:53 - 84:55] そういう風になると思うので
[84:59 - 85:00] 一回出して
[85:00 - 85:01] 終わりにすると
[85:01 - 85:02] もったいないので
[85:02 - 85:03] ぜひ
[85:03 - 85:04] 何回か
[85:04 - 85:05] 会話してみるみたいなの
[85:05 - 85:07] やってもらえればなと思います
[85:23 - 85:24] 2回目の方が
[85:24 - 85:26] やっぱり良くなったので
[85:26 - 85:54] 2回目の方が良くなったので
[85:54 - 85:56] 急に短くなっているので
[85:56 - 85:59] 1回目に出してくれた
[86:09 - 86:10] 形式が変わったので
[86:10 - 86:13] 同じ形式で出してくれないみたいな感じに
[86:13 - 86:15] したら多分これで
[86:15 - 86:18] 自分がやりたいことは完成かなっていう
[86:19 - 86:21] そうこんな感じ
[86:25 - 86:27] これで完成です
[86:27 - 86:29] 一旦
[86:29 - 86:31] っていう感じなんですけど
[86:31 - 86:34] 皆さんちょっとどんな感じの進捗ですか
[86:35 - 86:38] 14日分裏と自分のバージョンを出してくれて
[86:38 - 86:39] ありがとうございます
[86:40 - 86:41] どんな感じですか
[86:41 - 86:42] いい感じですか
[86:43 - 86:44] 扱えそうです
[86:44 - 86:45] おー良かったです
[86:45 - 86:46] はい
[86:46 - 86:47] はい
[86:47 - 86:48] はい
[86:48 - 86:49] はい
[86:49 - 86:50] はい
[86:50 - 86:51] はい
[86:51 - 86:52] はい
[86:52 - 86:54] おー良かったです
[86:54 - 86:56] なのでぜひこれを作ったら
[86:56 - 86:58] ここの
[86:58 - 87:00] スプレートシートに
[87:00 - 87:02] 1日目これ2日目これって
[87:02 - 87:04] コピペするっていうのをぜひ
[87:04 - 87:06] やってみていただければなという風に
[87:06 - 87:07] 思ってます
[87:07 - 87:08] この
[87:09 - 87:11] ここにあるテンプレーっていうのが
[87:11 - 87:13] 先ほどのゴマシュアアカウントって言うので
[87:13 - 87:15] 14日のやつを作るんだったら
[87:15 - 87:17] どうやるんだろうみたいなのを
[87:17 - 87:19] さっきはやさんが話してる時に
[87:19 - 87:21] 後ろで5分くらいでパパッて作った
[87:21 - 87:22] やつなので
[87:22 - 87:23] たぶん
[87:23 - 87:24] そんなに
[87:24 - 87:26] 時間がかからないというかすごい
[87:26 - 87:28] もちろんめっちゃ早急として
[87:28 - 87:30] 絶対に当てたいみたいな感じにして
[87:30 - 87:32] もっとこだってくってことは
[87:32 - 87:33] できると思うんですけど
[87:33 - 87:35] 今日のテーマとしては
[87:35 - 87:36] 小労力で
[87:36 - 87:37] なるべく
[87:37 - 87:39] もう取り逃しがないようにしたい
[87:39 - 87:41] っていうこのメタコークだけを
[87:41 - 87:42] やるんじゃなくて
[87:42 - 87:43] 取り逃しないようにしたよね
[87:43 - 87:45] っていうところをゴールとしてやってるので
[87:45 - 87:46] えっと
[87:46 - 87:48] 14日これ作れたら
[87:48 - 87:50] 相当取り逃しが減ると思うので
[87:50 - 87:51] ぜひ一旦
[87:51 - 87:54] 一旦そこをゴールに作っていただければなと思います
[87:54 - 87:56] なので
[87:56 - 87:57] たぶん
[87:57 - 88:00] 10分くらいあればできる気がするので
[88:00 - 88:01] ちょっとそんな感じで
[88:01 - 88:04] ワークをしていきたいなというふうに思いますので
[88:04 - 88:05] この流れで
[88:05 - 88:08] GPTの僕のGPTの履歴とかも見て
[88:08 - 88:11] ちょっと参考にやってみていただければなと思います
[88:11 - 88:13] という感じでじゃあ一旦時間になったので
[88:13 - 88:16] 区切りとしたいなというふうに思いますと
[88:16 - 88:18] こんな感じで結構アウトベットできてる方も
[88:18 - 88:21] 左側に行けば結構かけてるので
[88:21 - 88:22] いいんじゃないかなと思います
[88:22 - 88:23] ありがとうございます
[88:23 - 88:24] えっと
[88:24 - 88:26] なんか気になるとか
[88:26 - 88:28] なんかこれ点作してほしいみたいなのあったら
[88:28 - 88:30] ぜひあの後日でもいつでもいいので
[88:30 - 88:31] あのご連絡
[88:31 - 88:32] 早速探ければ
[88:32 - 88:33] ご連絡いただければ
[88:33 - 88:34] いつでも対応するので
[88:34 - 88:35] ぜひそんな形で
[88:35 - 88:36] えっと
[88:36 - 88:38] 一旦ねぜひやって
[88:38 - 88:40] 見ていただければなというふうに思ってます
[88:40 - 88:43] じゃあちょっと最後のまとめというところで
[88:43 - 88:44] えっと
[88:44 - 88:45] 最後5分くらいだけ
[88:45 - 88:47] お話して終わろうかなというふうに思います
[88:48 - 88:50] ということで基本的に
[88:50 - 88:52] 一旦紹介というか感じなんですけど
[88:52 - 88:55] このリストーリーというツールが
[88:55 - 88:57] 今自分が話しているやつで
[88:57 - 88:59] インプットさせるというのに
[88:59 - 89:02] 今インスタでこのストーリーを
[89:02 - 89:05] 取れるツールというのが
[89:05 - 89:07] 僕インスタを相当
[89:07 - 89:09] 触ってるはずなんですけどなくて
[89:09 - 89:13] なさすぎて知り合いの方が
[89:13 - 89:16] 作って作ってってすごい言ったら
[89:16 - 89:17] 作ってくれて
[89:17 - 89:20] なので僕とその方からの紹介しか
[89:20 - 89:23] このツールが基本的に広まってないので
[89:23 - 89:25] もしおければ使いたい方いれば
[89:25 - 89:29] 月額1万円くらい9800円なんですけど
[89:29 - 89:31] 現価なので
[89:31 - 89:34] 全然僕に利益が全く
[89:34 - 89:36] あるものでは全くないんですけど
[89:36 - 89:37] あの
[89:37 - 89:40] 一人使うと6500円かかるので
[89:40 - 89:41] ほぼ利益がないんですけど
[89:41 - 89:42] 別に
[89:42 - 89:45] 別に売らなくても売っても
[89:45 - 89:47] どちらも言うかいなんですけど
[89:47 - 89:49] あの使った方が
[89:49 - 89:51] もしインスタをこれから
[89:51 - 89:52] ストーリーとかがんばっていきたい
[89:52 - 89:54] っていう方だったら
[89:54 - 89:57] ないと結構損失があると思うので
[89:57 - 89:59] もし気になる方いれば
[89:59 - 90:00] ぜひ
[90:00 - 90:01] えーっと
[90:01 - 90:02] これもまた生やし3Kで
[90:02 - 90:04] お問い合わせいただければなという風に
[90:04 - 90:05] 思ってますと
[90:05 - 90:07] これは本当に僕は
[90:07 - 90:09] 半年前にこれ作ってもらったんですけど
[90:09 - 90:11] これできてからローンチが
[90:11 - 90:14] 信じられないくらい当たるようになって
[90:14 - 90:15] さっきの出たやつ
[90:15 - 90:17] 一生までも出ましたよみたいなやつも
[90:17 - 90:19] このやり方で作って
[90:19 - 90:21] 叩き台を作って
[90:21 - 90:22] やったので
[90:22 - 90:23] やっぱり運用者
[90:23 - 90:24] 僕が
[90:24 - 90:25] 僕は普段
[90:25 - 90:27] 自分でインスタ触る側じゃないので
[90:27 - 90:28] やってもらう側
[90:28 - 90:29] 発注側なんですけど
[90:29 - 90:31] やっぱやってもらう時に
[90:31 - 90:32] このぐらい叩き台を
[90:32 - 90:33] ちゃんと作っておかないと
[90:33 - 90:36] 結局作業者も当てることができないので
[90:36 - 90:37] これを作れるっていうだけで
[90:37 - 90:38] めちゃくちゃ強いなー
[90:38 - 90:39] っていう風に
[90:39 - 90:40] 僕は思うので
[90:40 - 90:41] ぜひこのやり方
[90:41 - 90:42] インプットして
[90:42 - 90:43] 構造インプットして
[90:43 - 90:45] 自分の情報もインプットして
[90:45 - 90:47] 構造と情報っていう風に
[90:47 - 90:48] 分けて
[90:48 - 90:49] アウトプットさせる
[90:49 - 90:50] みたいなところ
[90:50 - 90:51] やっていただければな
[90:51 - 90:52] という風に思ってます
[90:52 - 90:53] 持って通るで
[90:53 - 90:55] 皆さん何ができるか
[90:55 - 90:57] もう一回教えてほしいって
[90:57 - 90:59] まず人の投稿
[90:59 - 91:01] ストーリーの投稿を保存できて
[91:01 - 91:03] かつダウンロードができます
[91:03 - 91:04] そうです
[91:04 - 91:05] ダウンロードできるのは
[91:05 - 91:06] 画像のみ
[91:06 - 91:08] テキストもできます
[91:08 - 91:09] テキストしてのは
[91:09 - 91:12] ここに入ってるテキストですね
[91:12 - 91:13] その二つのセットが
[91:13 - 91:14] ダウンロードできるようになってます
[91:14 - 91:15] そうです
[91:15 - 91:16] その形です
[91:16 - 91:17] はい
[91:17 - 91:20] で自分の参考にしたい
[91:20 - 91:22] ものを登録した日
[91:22 - 91:24] から計測が始まるので
[91:24 - 91:28] 登録をしてないものは
[91:28 - 91:30] 登録以前のものまで
[91:30 - 91:32] 坂登って取ることはできない
[91:32 - 91:34] っていうのが注意点ですと
[91:34 - 91:35] でもすごい
[91:35 - 91:37] 会話で当たっている人みたいな
[91:37 - 91:39] 僕が登録してなくても
[91:39 - 91:41] 誰かが登録してるので
[91:41 - 91:43] つまり誰かが登録してれば
[91:43 - 91:45] 過去のやつが見れます
[91:45 - 91:48] 今インスタのストーリーロンズで
[91:48 - 91:50] 相当当当たってる
[91:50 - 91:51] 聞いたことある方も
[91:51 - 91:52] 多いんじゃないかな
[91:52 - 91:53] っていうふうに思うんですけど
[91:53 - 91:55] 計算とかだったら
[91:55 - 91:57] こんな感じで僕が
[91:57 - 92:00] 登録してなくても入ってるし
[92:04 - 92:06] この前ロンズしてた方も
[92:06 - 92:09] すでにツールを利用したら
[92:09 - 92:12] デポートで登録されてるんですか?
[92:12 - 92:13] そうです
[92:13 - 92:16] ツールを僕含め
[92:16 - 92:18] 何十人か今使ってる中で
[92:18 - 92:20] 誰かが登録してれば
[92:20 - 92:22] それが出てくるって感じ
[92:22 - 92:23] なので逆に言うと
[92:23 - 92:25] 誰かが登録してなければ
[92:25 - 92:27] 自分が登録した日から
[92:27 - 92:29] しか取れないので
[92:29 - 92:31] なのでなんかいろんなアカウントを
[92:31 - 92:33] ちょっと覗いてみて
[92:33 - 92:35] 登録してあるやつが
[92:35 - 92:36] いいやつなんだなっていう
[92:36 - 92:38] 見方も実はできるっていう
[92:38 - 92:41] ということは自分が登録してなくても
[92:41 - 92:43] 共有されるとね
[92:43 - 92:46] このツールの利用者同士で
[92:46 - 92:48] アカウントの情報が
[92:48 - 92:49] 共有されると
[92:49 - 92:50] そうですそうです
[92:50 - 92:52] このツールの中で
[92:52 - 92:53] データベースが
[92:53 - 92:56] 共有されてるっていう感じなので
[92:59 - 93:01] 怒る人はいないと思うんですけど
[93:01 - 93:03] 自分のものが記録されてて
[93:03 - 93:05] っていう風になると
[93:05 - 93:07] いやな方は多いと思うので
[93:09 - 93:11] お焼きにはできないですし
[93:11 - 93:13] 僕やろうと思えばこのデータを
[93:13 - 93:16] 販売することも正直やろうと思えば
[93:16 - 93:18] めちゃくちゃ価値としては
[93:18 - 93:19] 高いんですけど
[93:19 - 93:20] それはもう絶対に
[93:20 - 93:22] できないというかしないので
[93:22 - 93:24] もし皆さんこれ使う場合も
[93:24 - 93:27] それだけはちょっとしないように
[93:27 - 93:29] っていうところも込めて
[93:29 - 93:32] パブリックに公開してないツールになるので
[93:32 - 93:34] よすぎるから
[93:34 - 93:37] 知り合いにしか出せないみたいなツールになっているので
[93:37 - 93:39] やる方は使った方がいいし
[93:39 - 93:41] 別にやらないのであれば
[93:41 - 93:43] 全然いらないしって感じだと思うので
[93:43 - 93:45] そんな感じのダウンロードできるツール
[93:45 - 93:47] みたいなのが
[93:47 - 93:49] そう本当にやるならおすすめかな
[93:49 - 93:52] っていう感じでしたと
[93:52 - 93:53] そんな感じです
[93:53 - 93:55] ということでちょっとだけ
[93:55 - 93:56] まあでも出現をやったら
[93:56 - 93:57] 時間がかかっちゃうと思うので
[93:57 - 93:59] 後で今週も自分に行かせていただくので
[93:59 - 94:02] ぜひちょうど質問がある方
[94:02 - 94:05] ぜひ聞いていただければなという風に思います
[94:05 - 94:06] で終わりにというところで
[94:06 - 94:08] お金に効く本気で活用しませんか
[94:08 - 94:09] というところで
[94:09 - 94:10] ストーリーロンチというのを
[94:10 - 94:12] シナリオを超えてパーンって作って
[94:12 - 94:15] やるというだけで結構いけるし
[94:15 - 94:17] インフレンスターフーの
[94:17 - 94:19] 広告クリエイティブというのを作ったら
[94:19 - 94:21] あんなに当たるんだというのも
[94:21 - 94:23] 理解いただけたかなと思いますし
[94:23 - 94:24] 一回構築しておくことで
[94:24 - 94:25] 初期構築しておくことで
[94:25 - 94:27] タナボタンが発生するんだな
[94:27 - 94:29] というのも理解していただけたかなという風に思います
[94:29 - 94:31] なので結構本当にやるだけで
[94:31 - 94:33] めっちゃオーガニック当たるやり方を
[94:33 - 94:36] 割とクリティカルにお伝えできたかなという風に思うので
[94:36 - 94:39] ぜひやっていただいて
[94:39 - 94:41] なんかやってうまくいったらぜひ
[94:41 - 94:43] 林さん経由で僕にも
[94:43 - 94:46] 感想が届いたら嬉しいなと思っているので
[94:46 - 94:47] 結構いろいろと喋ったし
[94:47 - 94:49] いろいろ売れたデータとかも
[94:49 - 94:51] お渡ししたので
[94:51 - 94:52] うまく使っていただければ
[94:52 - 94:54] 結構いけるんじゃないかなという風に
[94:54 - 94:55] 思っているので
[94:55 - 94:58] ぜひうまく活用していただければなという風に思っています
[94:58 - 95:01] で、ここのストーリーロンチだったりとか
[95:01 - 95:04] インフレンサー風の広告のクリエイティブだったりとか
[95:04 - 95:06] 初期構築だったりとかっていうのは
[95:06 - 95:08] 一応僕の会社の授業として
[95:08 - 95:09] やっているところでもあるので
[95:09 - 95:11] もし自分でやるの面倒
[95:11 - 95:14] 臭くてやってもらった方がいいなとか
[95:14 - 95:15] ホームページみたいに
[95:15 - 95:17] 1年2年作ったらその後
[95:17 - 95:18] そのまま続くよね
[95:18 - 95:19] みたいなところだと思うので
[95:19 - 95:22] ぜひなんか
[95:22 - 95:24] 自分じゃなくて
[95:24 - 95:25] もう作ってほしいなぁ
[95:25 - 95:26] みたいなのがあれば
[95:26 - 95:27] 一応お声が聞きいただければ
[95:27 - 95:28] ベッドを見つもりとかも出して
[95:28 - 95:30] 対応できたりはするので
[95:30 - 95:32] まあでも自分でできたりとか
[95:32 - 95:33] した方が
[95:33 - 95:34] なんだろうな
[95:34 - 95:36] 面白いノウハウではあったと思うので
[95:36 - 95:38] ぜひ試していただいて
[95:38 - 95:40] 使っていただいてというところで
[95:40 - 95:42] やっていただきつつ
[95:42 - 95:45] もし撮影とかは自分じゃできないと思うので
[95:45 - 95:46] なんかこういうのが
[95:46 - 95:48] 店舗とか欲しいなとかあったら
[95:48 - 95:50] ちょっとこう相談いただければ
[95:50 - 95:52] 2080人いっぱいいますので
[95:52 - 95:54] どこでも対応させていただけるかな
[95:54 - 95:56] と思うのでぜひお声が聞きいただければな
[95:56 - 95:58] というふうに思います
[95:58 - 95:59] そんな感じで
[95:59 - 96:01] ご清聴ありがとうございました
